learning_rate,epochs,batch_size,training_time,por_successes
0.5,3,5,3.8054733276367188,0.51
0.5,3,10,3.7071571350097656,0.56
0.5,3,30,3.668126106262207,0.28
0.5,3,100,3.624267578125,0.18
0.5,10,5,9.923354387283325,0.89
0.5,10,10,8.157558679580688,0.68
0.5,10,30,7.879134893417358,0.61
0.5,10,100,9.307946920394897,0.45
0.5,50,5,50.32087969779968,0.88
0.5,50,10,48.06574082374573,0.91
0.5,50,30,48.709646224975586,0.83
0.5,50,100,55.20178723335266,0.72
0.5,100,5,119.5994040966034,0.89
0.5,100,10,104.25363659858704,0.89
0.5,100,30,129.70312070846558,0.88
0.5,100,100,115.14149713516235,0.78
1.0,3,5,4.341276407241821,0.85
1.0,3,10,3.831711769104004,0.66
1.0,3,30,3.051945924758911,0.35
1.0,3,100,4.133662462234497,0.2
1.0,10,5,13.770747184753418,0.77
1.0,10,10,10.186660289764404,0.83
1.0,10,30,12.546147108078003,0.77
1.0,10,100,8.231659173965454,0.45
1.0,50,5,56.855385065078735,0.89
1.0,50,10,57.38886857032776,0.86
1.0,50,30,58.37167739868164,0.84
1.0,50,100,55.79247689247131,0.76
1.0,100,5,121.70745015144348,0.92
1.0,100,10,116.96805000305176,0.92
1.0,100,30,92.79486322402954,0.85
1.0,100,100,95.93069648742676,0.92
3.0,3,5,2.347444534301758,0.73
3.0,3,10,2.142899513244629,0.8
3.0,3,30,2.255878210067749,0.72
3.0,3,100,2.2882606983184814,0.36
3.0,10,5,11.804107427597046,0.9
3.0,10,10,7.787096738815308,0.92
3.0,10,30,11.45492148399353,0.67
3.0,10,100,11.536939859390259,0.67
3.0,50,5,54.35279846191406,0.92
3.0,50,10,55.406426668167114,0.91
3.0,50,30,49.80385899543762,0.77
3.0,50,100,54.239588499069214,0.86
3.0,100,5,104.35489225387573,0.9
3.0,100,10,99.56583738327026,0.91
3.0,100,30,107.94324851036072,0.92
3.0,100,100,90.81486773490906,0.85
10.0,3,5,3.843278408050537,0.83
10.0,3,10,3.9773435592651367,0.78
10.0,3,30,3.198962688446045,0.79
10.0,3,100,2.277217388153076,0.42
10.0,10,5,7.736486911773682,0.88
10.0,10,10,11.004344701766968,0.92
10.0,10,30,8.398543357849121,0.74
10.0,10,100,9.174989938735962,0.64
10.0,50,5,50.114105224609375,0.9
10.0,50,10,48.27156186103821,0.92
10.0,50,30,46.96766424179077,0.73
10.0,50,100,47.30195164680481,0.92
10.0,100,5,110.62691974639893,0.92
10.0,100,10,108.0101387500763,0.94
10.0,100,30,103.39748454093933,0.91
10.0,100,100,100.50441789627075,0.8
