epochs,batch_size,learning_rate,success_count,training_time
3.0,5.0,0.5,73.0,2.4310660362243652
3.0,5.0,1.0,84.0,2.395981788635254
3.0,5.0,3.0,91.0,2.3863730430603027
3.0,5.0,10.0,81.0,2.359922170639038
3.0,10.0,0.5,48.0,2.266923666000366
3.0,10.0,1.0,65.0,2.231222629547119
3.0,10.0,3.0,78.0,2.302173137664795
3.0,10.0,10.0,82.0,2.2811596393585205
3.0,30.0,0.5,34.0,2.099860668182373
3.0,30.0,1.0,36.0,2.1304893493652344
3.0,30.0,3.0,45.0,2.097642421722412
3.0,30.0,10.0,74.0,2.077183485031128
3.0,100.0,0.5,19.0,1.9749886989593506
3.0,100.0,1.0,7.0,2.0001955032348633
3.0,100.0,3.0,36.0,2.0009682178497314
3.0,100.0,10.0,62.0,2.0003340244293213
10.0,5.0,0.5,86.0,8.149275302886963
10.0,5.0,1.0,77.0,8.08772897720337
10.0,5.0,3.0,83.0,7.9817280769348145
10.0,5.0,10.0,84.0,8.174857378005981
10.0,10.0,0.5,53.0,7.30552077293396
10.0,10.0,1.0,81.0,7.501715660095215
10.0,10.0,3.0,88.0,7.304956436157227
10.0,10.0,10.0,87.0,7.5835418701171875
10.0,30.0,0.5,49.0,6.866329908370972
10.0,30.0,1.0,69.0,7.164202451705933
10.0,30.0,3.0,81.0,7.030131101608276
10.0,30.0,10.0,82.0,7.337280988693237
10.0,100.0,0.5,36.0,6.833509683609009
10.0,100.0,1.0,42.0,6.448367357254028
10.0,100.0,3.0,75.0,6.772584438323975
10.0,100.0,10.0,77.0,6.438623905181885
50.0,5.0,0.5,84.0,38.456127405166626
50.0,5.0,1.0,91.0,40.190510988235474
50.0,5.0,3.0,94.0,40.72724652290344
50.0,5.0,10.0,89.0,41.375773668289185
50.0,10.0,0.5,89.0,40.28902196884155
50.0,10.0,1.0,87.0,39.989643812179565
50.0,10.0,3.0,77.0,39.346394062042236
50.0,10.0,10.0,96.0,39.27365016937256
50.0,30.0,0.5,81.0,37.27487778663635
50.0,30.0,1.0,87.0,39.70254874229431
50.0,30.0,3.0,91.0,46.78099298477173
50.0,30.0,10.0,93.0,46.89501619338989
50.0,100.0,0.5,59.0,42.96598839759827
50.0,100.0,1.0,68.0,45.39013338088989
50.0,100.0,3.0,85.0,45.25336837768555
50.0,100.0,10.0,91.0,45.21238708496094
100.0,5.0,0.5,85.0,111.50440764427185
100.0,5.0,1.0,90.0,108.40638566017151
100.0,5.0,3.0,90.0,106.70451474189758
100.0,5.0,10.0,79.0,104.36124920845032
100.0,10.0,0.5,70.0,91.115877866745
100.0,10.0,1.0,93.0,95.36665487289429
100.0,10.0,3.0,82.0,100.98655605316162
100.0,10.0,10.0,88.0,64.34506058692932
100.0,30.0,0.5,94.0,42.863426208496094
100.0,30.0,1.0,85.0,42.85750603675842
100.0,30.0,3.0,91.0,43.41764163970947
100.0,30.0,10.0,89.0,42.72636389732361
100.0,100.0,0.5,74.0,41.932900190353394
100.0,100.0,1.0,85.0,42.082444190979004
100.0,100.0,3.0,86.0,41.77110505104065
100.0,100.0,10.0,91.0,43.443615674972534
